timestamp,equity,cash,positions
2026-06-20T08:17:53.674138,94802.61,18093.27,1
2026-06-20T08:20:02.247130,93408.58,93408.58,0
2026-06-20T08:22:11.754387,93408.58,93408.58,0
2026-06-20T08:24:22.407157,93408.58,93408.58,0
2026-06-20T08:26:32.982142,93408.58,93408.58,0
2026-06-20T08:28:46.832438,93408.58,93408.58,0
2026-06-20T08:30:57.828442,93408.58,93408.58,0
2026-06-20T08:37:19.537420,93408.58,93408.58,0
2026-06-20T08:39:30.118749,93408.58,93408.58,0
2026-06-20T08:41:40.129131,93408.58,93408.58,0
2026-06-20T08:43:51.640364,93408.58,93408.58,0
2026-06-20T08:46:04.677716,93408.58,93408.58,0
2026-06-20T08:48:19.093631,93408.58,93408.58,0
2026-06-20T08:50:32.158531,93408.58,93408.58,0
2026-06-20T08:52:47.210685,93408.58,93408.58,0
2026-06-20T08:54:58.152002,93408.58,93408.58,0
2026-06-20T08:57:10.507419,93408.58,93408.58,0
2026-06-20T08:59:20.812853,93408.58,93408.58,0
2026-06-20T09:01:33.424871,93408.58,93408.58,0
2026-06-20T09:03:45.959858,93408.58,93408.58,0
2026-06-20T09:05:58.680883,93408.58,93408.58,0
2026-06-20T09:08:11.695197,93408.58,93408.58,0
2026-06-20T09:10:22.714775,93408.58,93408.58,0
2026-06-20T09:12:38.954297,93408.58,93408.58,0
2026-06-20T09:14:53.651847,93408.58,93408.58,0
2026-06-20T09:17:10.182595,93408.58,93408.58,0
2026-06-20T09:19:25.310022,93408.58,93408.58,0
2026-06-20T09:21:40.089645,93408.58,93408.58,0
2026-06-20T09:23:51.623580,93408.58,93408.58,0
2026-06-20T09:26:04.504602,93408.58,93408.58,0
2026-06-20T09:28:14.766440,93408.58,93408.58,0
2026-06-20T09:30:25.590450,93408.58,93408.58,0
2026-06-20T09:32:35.919445,93408.58,93408.58,0
2026-06-20T09:34:52.844783,93408.58,93408.58,0
2026-06-20T09:37:05.500510,93408.58,93408.58,0
2026-06-20T09:39:16.211319,93408.58,93408.58,0
2026-06-20T09:41:27.302177,93408.58,93408.58,0
2026-06-20T09:43:38.492915,93408.58,93408.58,0
2026-06-20T09:45:52.939486,93408.58,93408.58,0
2026-06-20T09:48:03.956258,93408.58,93408.58,0
2026-06-20T09:50:14.523762,93408.58,93408.58,0
2026-06-20T09:52:39.542169,93408.58,93408.58,0
2026-06-20T09:54:50.326912,93408.58,93408.58,0
2026-06-20T09:57:01.962962,93408.58,93408.58,0
2026-06-20T09:59:22.131757,93408.58,93408.58,0
2026-06-20T10:01:32.982438,93408.58,93408.58,0
2026-06-20T10:03:47.262733,93408.58,93408.58,0
2026-06-20T10:05:58.185305,93408.58,93408.58,0
2026-06-20T10:08:08.919021,93408.58,93408.58,0
2026-06-20T10:10:19.618204,93408.58,93408.58,0
2026-06-20T10:18:37.497281,93408.58,93408.58,0
2026-06-20T10:20:47.671753,93408.58,93408.58,0
2026-06-20T10:22:57.966049,93408.58,93408.58,0
2026-06-20T10:25:07.840071,93408.58,93408.58,0
2026-06-20T10:27:19.393734,93408.58,93408.58,0
2026-06-20T10:29:29.961339,93408.58,93408.58,0
2026-06-20T10:31:43.886614,93408.58,93408.58,0
2026-06-20T10:34:08.066464,93408.58,93408.58,0
2026-06-20T10:36:22.775940,93408.58,93408.58,0
2026-06-20T10:38:33.436833,93408.58,93408.58,0
2026-06-20T10:40:43.733164,93408.58,93408.58,0
2026-06-20T10:42:54.579258,93408.58,93408.58,0
2026-06-20T10:45:10.300970,93408.58,93408.58,0
2026-06-20T10:47:27.763632,93408.58,93408.58,0
2026-06-20T10:49:38.416906,93408.58,93408.58,0
2026-06-20T10:52:01.995963,93408.58,93408.58,0
2026-06-20T10:54:16.237280,93408.58,93408.58,0
2026-06-20T10:56:31.414489,93408.58,93408.58,0
2026-06-20T10:58:49.075127,93408.58,93408.58,0
2026-06-20T11:01:02.630004,93408.58,93408.58,0
2026-06-20T11:03:13.379721,93408.58,93408.58,0
2026-06-20T11:05:34.666944,93408.58,93408.58,0
2026-06-20T11:07:50.304346,93408.58,93408.58,0
2026-06-20T11:10:01.980778,93408.58,93408.58,0
2026-06-20T11:12:14.006510,93408.58,93408.58,0
2026-06-20T11:14:25.840573,93408.58,93408.58,0
2026-06-20T11:16:40.285092,93408.58,93408.58,0
2026-06-20T11:18:51.348968,93408.58,93408.58,0
2026-06-20T11:21:07.615417,93408.58,93408.58,0
2026-06-20T11:23:27.016703,93408.58,93408.58,0
2026-06-20T11:25:41.660029,93408.58,93408.58,0
2026-06-20T11:27:56.587185,92195.99,9043.36,3
2026-06-20T11:30:09.048994,90489.34,8891.01,3
2026-06-20T11:32:43.370332,88817.67,8753.12,3
2026-06-20T11:35:05.680986,87742.24,48450.35,3
2026-06-20T11:37:19.474643,87081.68,48029.50,3
2026-06-20T11:39:34.331623,86309.04,47616.48,3
2026-06-20T11:41:50.512519,85468.70,47177.64,3
2026-06-20T11:44:07.999409,84728.69,46764.51,3
2026-06-20T11:46:30.273337,83003.69,8122.13,6
2026-06-20T11:48:51.299601,81315.08,7760.03,6
2026-06-20T11:51:13.148590,79618.97,7602.07,6
2026-06-20T11:53:37.105816,78093.92,7458.51,6
2026-06-20T11:55:51.757950,76486.98,7321.46,6
2026-06-20T11:58:05.565143,75131.30,11356.60,6
2026-06-20T12:00:21.251540,73608.57,7061.36,6
2026-06-20T12:02:45.907567,72276.69,10926.56,6
2026-06-20T12:05:06.569440,70845.35,6798.46,6
2026-06-20T12:07:31.492347,70036.06,25289.75,6
2026-06-20T12:09:49.374284,69237.82,24954.16,6
2026-06-20T12:12:17.030854,68386.51,24660.46,6
2026-06-20T12:14:35.631451,67681.29,24461.23,6
2026-06-20T12:16:50.979741,66893.38,24122.65,6
2026-06-20T12:19:05.576938,66162.80,23899.99,6
2026-06-20T12:23:55.455230,65350.31,23647.11,6
2026-06-20T12:26:14.463819,64705.18,22781.03,6
2026-06-20T12:28:31.968306,64056.99,22545.79,6
2026-06-20T12:30:47.370589,63467.57,22314.70,6
2026-06-20T12:41:24.777061,62597.39,17100.99,6
2026-06-20T12:48:23.800016,62031.67,21791.55,6
2026-06-20T12:56:15.577190,61555.16,22316.24,6
2026-06-20T13:02:56.796805,60900.42,22822.57,6
2026-06-20T13:07:17.471010,60478.64,22822.57,6
2026-06-20T13:09:30.507232,60212.79,22403.22,6
2026-06-20T13:11:44.091121,59573.26,21992.32,6
2026-06-20T13:14:24.165377,58925.95,21766.81,6
2026-06-20T13:16:54.172286,58355.86,21535.04,6
