timestamp,side,ticker,quantity,price,equity_after,reason
2026-06-20T08:17:53.339339,sell,UNIUSD,25508.3054,3.0100,0.00,momentum
2026-06-20T11:26:55.123089,buy,DOT/USD,14508.9438,0.9657,0.00,momentum
2026-06-20T11:26:55.777892,buy,DOGE/USD,166824.8678,0.0840,0.00,momentum
2026-06-20T11:26:56.569485,buy,ADA/USD,85648.7988,0.1636,0.00,momentum
2026-06-20T11:27:37.990897,buy,DOT/USD,14419.6522,0.9667,0.00,momentum
2026-06-20T11:27:38.649044,buy,DOGE/USD,165838.0182,0.0841,0.00,momentum
2026-06-20T11:27:39.247462,buy,ADA/USD,85185.4857,0.1636,0.00,momentum
2026-06-20T11:27:54.568195,sell,ADAUSD,170407.1988,0.1638,0.00,momentum
2026-06-20T11:27:54.908193,sell,DOGEUSD,331831.2288,0.0836,0.00,momentum
2026-06-20T11:27:55.324239,sell,DOTUSD,28880.4648,0.9602,0.00,momentum
2026-06-20T11:28:38.955634,buy,DOT/USD,14234.6246,0.9670,0.00,momentum
2026-06-20T11:28:39.644032,buy,DOGE/USD,163767.6276,0.0841,0.00,momentum
2026-06-20T11:28:40.388196,buy,ADA/USD,84121.9947,0.1636,0.00,momentum
2026-06-20T11:29:38.819648,buy,DOT/USD,14155.7143,0.9670,0.00,momentum
2026-06-20T11:29:39.604288,buy,DOGE/USD,162859.7738,0.0841,0.00,momentum
2026-06-20T11:29:40.283550,buy,ADA/USD,83655.6604,0.1636,0.00,momentum
2026-06-20T11:30:07.096963,sell,ADAUSD,167358.2110,0.1638,0.00,momentum
2026-06-20T11:30:07.457993,sell,DOGEUSD,325810.8329,0.0836,0.00,momentum
2026-06-20T11:30:07.842938,sell,DOTUSD,28340.6129,0.9602,0.00,momentum
2026-06-20T11:30:52.465819,buy,DOT/USD,13964.5944,0.9683,0.00,momentum
2026-06-20T11:30:53.485925,buy,DOGE/USD,160873.6272,0.0841,0.00,momentum
2026-06-20T11:30:55.176858,buy,ADA/USD,82650.5960,0.1636,0.00,momentum
2026-06-20T11:31:42.913511,buy,DOT/USD,13887.0757,0.9682,0.00,momentum
2026-06-20T11:31:43.814316,buy,DOGE/USD,159967.3851,0.0841,0.00,momentum
2026-06-20T11:31:44.379815,buy,ADA/USD,82116.2393,0.1637,0.00,momentum
2026-06-20T11:32:41.018954,sell,ADAUSD,164354.9182,0.1638,0.00,momentum
2026-06-20T11:32:41.371735,sell,DOGEUSD,320038.9098,0.0836,0.00,momentum
2026-06-20T11:32:41.766089,sell,DOTUSD,27802.7975,0.9602,0.00,momentum
2026-06-20T11:33:56.221251,buy,DOT/USD,13721.2869,0.9679,0.00,momentum
2026-06-20T11:33:57.233192,buy,DOGE/USD,158006.3782,0.0841,0.00,momentum
2026-06-20T11:33:59.068364,buy,ADA/USD,81139.3262,0.1637,0.00,momentum
2026-06-20T11:34:58.388068,sell,ADAUSD,80936.4779,0.1638,0.00,momentum
2026-06-20T11:34:58.883996,sell,DOGEUSD,157611.3623,0.0836,0.00,momentum
2026-06-20T11:35:00.878481,sell,DOTUSD,13698.2386,0.9602,0.00,momentum
2026-06-20T11:35:30.837561,buy,DOT/USD,13611.0449,0.9670,0.00,momentum
2026-06-20T11:35:31.621623,buy,DOGE/USD,156586.9415,0.0841,0.00,momentum
2026-06-20T11:35:32.601230,buy,ADA/USD,80482.7004,0.1635,0.00,momentum
2026-06-20T11:37:17.148289,sell,ADAUSD,80281.4936,0.1638,0.00,momentum
2026-06-20T11:37:17.591598,sell,DOGEUSD,156195.4741,0.0836,0.00,momentum
2026-06-20T11:37:17.958455,sell,DOTUSD,13588.2558,0.9602,0.00,momentum
2026-06-20T11:38:24.815326,buy,DOT/USD,13486.9550,0.9675,0.00,momentum
2026-06-20T11:38:25.477418,buy,DOGE/USD,155255.8004,0.0840,0.00,momentum
2026-06-20T11:38:28.741166,buy,ADA/USD,79827.1698,0.1635,0.00,momentum
2026-06-20T11:39:32.027517,sell,ADAUSD,79627.6019,0.1628,0.00,momentum
2026-06-20T11:39:32.391044,sell,DOGEUSD,154867.6609,0.0836,0.00,momentum
2026-06-20T11:39:32.720739,sell,DOTUSD,13464.3688,0.9602,0.00,momentum
2026-06-20T11:40:21.866199,buy,DOT/USD,13377.7067,0.9668,0.00,momentum
2026-06-20T11:40:22.522795,buy,DOGE/USD,154010.0851,0.0840,0.00,momentum
2026-06-20T11:40:23.192551,buy,ADA/USD,79144.8412,0.1634,0.00,momentum
2026-06-20T11:41:48.426160,sell,ADAUSD,78946.9791,0.1634,0.00,momentum
2026-06-20T11:41:48.824096,sell,DOGEUSD,153625.0599,0.0836,0.00,momentum
2026-06-20T11:41:49.127241,sell,DOTUSD,13355.2746,0.9602,0.00,momentum
2026-06-20T11:42:30.507318,buy,DOT/USD,13261.0767,0.9668,0.00,momentum
2026-06-20T11:42:31.716581,buy,DOGE/USD,152667.3883,0.0840,0.00,momentum
2026-06-20T11:42:32.488251,buy,ADA/USD,78454.8375,0.1634,0.00,momentum
2026-06-20T11:44:03.970192,sell,ADAUSD,78258.7004,0.1634,0.00,momentum
2026-06-20T11:44:04.566235,sell,DOGEUSD,152285.7198,0.0836,0.00,momentum
2026-06-20T11:44:04.887033,sell,DOTUSD,13238.8276,0.9602,0.00,momentum
2026-06-20T11:44:18.420411,buy,BCH/USD,63.9318,199.4160,0.00,momentum
2026-06-20T11:44:19.179782,buy,UNI/USD,4169.0713,3.0580,0.00,momentum
2026-06-20T11:44:19.969990,buy,AVAX/USD,2109.8567,6.0426,0.00,momentum
2026-06-20T11:45:05.319066,buy,DOT/USD,13016.6559,0.9673,0.00,momentum
2026-06-20T11:45:06.004495,buy,DOGE/USD,149813.6691,0.0840,0.00,momentum
2026-06-20T11:45:07.228234,buy,ADA/USD,77052.2427,0.1634,0.00,momentum
2026-06-20T11:46:21.414176,sell,ADAUSD,76859.6121,0.1634,0.00,momentum
2026-06-20T11:46:24.561045,sell,AVAXUSD,2105.8661,5.9947,0.00,momentum
2026-06-20T11:46:26.678945,sell,BCHUSD,63.7720,198.2000,0.00,momentum
2026-06-20T11:46:28.270879,sell,DOGEUSD,149439.1349,0.0836,0.00,momentum
2026-06-20T11:46:28.612489,sell,DOTUSD,12994.7738,0.9602,0.00,momentum
2026-06-20T11:46:28.925709,sell,UNIUSD,4160.2845,3.0150,0.00,momentum
2026-06-20T11:47:06.666717,buy,DOT/USD,12875.4223,0.9668,0.00,momentum
2026-06-20T11:47:07.525118,buy,DOGE/USD,148116.1516,0.0840,0.00,momentum
2026-06-20T11:47:08.589515,buy,ADA/USD,76240.7638,0.1633,0.00,momentum
2026-06-20T11:47:09.276954,buy,BCH/USD,62.3639,199.6000,0.00,momentum
2026-06-20T11:47:10.039921,buy,UNI/USD,4067.1207,3.0606,0.00,momentum
2026-06-20T11:47:10.845460,buy,AVAX/USD,2059.4566,6.0442,0.00,momentum
2026-06-20T11:48:46.441914,sell,ADAUSD,76050.1619,0.1634,0.00,momentum
2026-06-20T11:48:46.779489,sell,AVAXUSD,2054.7112,5.9947,0.00,momentum
2026-06-20T11:48:47.261554,sell,BCHUSD,62.2080,198.2000,0.00,momentum
2026-06-20T11:48:47.854600,sell,DOGEUSD,147745.8612,0.0836,0.00,momentum
2026-06-20T11:48:49.092227,sell,DOTUSD,12853.7528,0.9602,0.00,momentum
2026-06-20T11:48:49.467715,sell,UNIUSD,4058.4692,3.0150,0.00,momentum
2026-06-20T11:49:14.546035,buy,DOT/USD,12605.5690,0.9676,0.00,momentum
2026-06-20T11:49:15.359448,buy,DOGE/USD,145134.6605,0.0840,0.00,momentum
2026-06-20T11:49:16.125393,buy,ADA/USD,74589.5857,0.1635,0.00,momentum
2026-06-20T11:49:16.764167,buy,BCH/USD,61.1085,199.6000,0.00,momentum
2026-06-20T11:49:17.533727,buy,UNI/USD,3992.5571,3.0550,0.00,momentum
2026-06-20T11:49:18.223899,buy,AVAX/USD,2020.2839,6.0374,0.00,momentum
2026-06-20T11:51:07.083415,sell,AVAX/USD,2016.4081,6.0229,0.00,momentum
2026-06-20T11:51:07.631564,buy,BTC/USD,0.1195,63609.8900,0.00,momentum
2026-06-20T11:51:09.195289,sell,ADAUSD,74403.1117,0.1634,0.00,momentum
2026-06-20T11:51:09.918889,sell,BCHUSD,60.9557,198.2000,0.00,momentum
